EVENT_DATE,YEAR,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,LOCATION,LATITUDE,LONGITUDE,SOURCE,SOURCE_SCALE,FATALITIES,TIMESTAMP
15-Feb-18,2018,Strategic developments,Disrupted weapons use,Military Forces of Israel (2009-2021),,8,,,0,80,Middle East,Palestine,Yuta,31.446,35.094,Jerusalem Post,Regional,0,1624315872
15-Feb-18,2018,Riots,Mob violence,Military Forces of Israel (2009-2021),,8,Rioters (Palestine),,5,58,Middle East,Palestine,Nablus,32.221,35.254,Jordan News Agency,Regional,0,1624315873
15-Feb-18,2018,Violence against civilians,Attack,Military Forces of Israel (2009-2021),,8,Civilians (Palestine),Fishermen (Palestine),7,78,Middle East,Palestine,Coast of North Gaza,31.584,34.466,Ma'an News Agency,National,0,1624315874
15-Feb-18,2018,Violence against civilians,Attack,Military Forces of Israel (2009-2021),,8,Civilians (Palestine),Fishermen (Palestine),7,78,Middle East,Palestine,Coast of Deir al Balah,31.432,34.328,Ma'an News Agency,National,0,1624315874
15-Feb-18,2018,Strategic developments,Change to group/activity,Military Forces of Israel (2009-2021),,8,,,0,80,Middle East,Palestine,Bayta,32.141,35.286,Ma'an News Agency,National,0,1624315875
13-May-20,2020,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-2021),,8,Civilians (Palestine),Farmers (Palestine),7,78,Middle East,Palestine,Al Fasayil,32.025,35.444,Ma'an News Agency,National,0,1624315874
13-May-20,2020,Riots,Mob violence,Rioters (Israel),Settlers (Israel),5,Civilians (Palestine),,7,57,Middle East,Palestine,Baytin,31.927,35.241,Arab 48,National,0,1644855392
14-May-20,2020,Riots,Mob violence,Rioters (Israel),Settlers (Israel),5,Civilians (Palestine),,7,57,Middle East,Palestine,Burin,32.184,35.25,Palestine News and Information Agency,National,0,1589829943
14-May-20,2020,Protests,Peaceful protest,Protesters (Palestine),Fatah Movement,6,,,0,60,Middle East,Palestine,Nablus,32.221,35.254,Jerusalem Post,Regional,0,1604359295
14-May-20,2020,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-2021),,8,58,Middle East,Palestine,Al Yamun,32.486,35.23,Palestine News and Information Agency; Arab 48,National,0,1624315863
14-May-20,2020,Riots,Mob violence,Rioters (Palestine),Refugees/IDPs (Palestine),5,Military Forces of Israel (2009-2021),,8,58,Middle East,Palestine,Mukhayyam al Arrub,31.623,35.137,Arab 48,National,0,1624315869
